"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2008","4,444.0","5,019.0","5,021.5","4,354.5","2.99M","-11.39%"
"05/01/2008","5,015.5","5,003.0","5,114.0","4,881.0","2.43M","1.11%"
"04/01/2008","4,960.5","4,711.0","5,002.0","4,673.0","2.89M","5.25%"
"03/01/2008","4,713.0","4,722.0","4,793.5","4,417.5","3.60M","-1.76%"
"02/01/2008","4,797.5","4,923.0","5,047.5","4,640.5","3.47M","-1.68%"
"01/01/2008","4,879.5","5,591.0","5,677.5","4,508.5","4.55M","-13.18%"
"12/01/2007","5,620.5","5,669.0","5,804.0","5,451.5","2.42M","-1.13%"
"11/01/2007","5,685.0","5,852.0","5,855.0","5,373.0","3.57M","-2.70%"
"10/01/2007","5,843.0","5,717.0","5,891.0","5,634.0","2.83M","2.03%"
"09/01/2007","5,727.0","5,695.5","5,768.0","5,383.0","2.78M","0.94%"
"08/01/2007","5,673.5","5,633.0","5,775.5","5,190.5","4.39M","-1.58%"
"07/01/2007","5,764.5","6,039.5","6,168.0","5,601.0","3.45M","-5.05%"
"06/01/2007","6,071.0","6,101.0","6,154.0","5,834.5","3.30M","-0.31%"
"05/01/2007","6,090.0","5,922.0","6,103.0","5,902.0","2.74M","2.79%"
"04/01/2007","5,924.5","5,640.0","5,953.5","5,619.0","2.53M","4.93%"
"03/01/2007","5,646.0","5,486.5","5,688.0","5,264.5","3.83M","2.25%"
"02/01/2007","5,521.5","5,660.0","5,784.5","5,465.0","2.53M","-1.67%"
"01/01/2007","5,615.0","5,575.0","5,672.0","5,477.0","2.53M","1.13%"
"12/01/2006","5,552.0","5,350.0","5,570.0","5,245.5","1.86M","4.12%"
"11/01/2006","5,332.5","5,357.0","5,507.5","5,281.5","2.43M","-0.48%"
"10/01/2006","5,358.0","5,286.5","5,470.5","5,203.5","2.08M","1.81%"
"09/01/2006","5,262.5","5,184.0","5,297.0","5,019.5","2.16M","1.85%"
"08/01/2006","5,167.0","5,023.0","5,207.0","4,934.5","2.26M","2.94%"
"07/01/2006","5,019.5","4,980.0","5,045.0","4,701.0","1.96M","0.92%"
"06/01/2006","4,973.5","4,915.5","5,007.0","4,563.0","2.74M","1.12%"
"05/01/2006","4,918.5","5,111.0","5,301.5","4,752.5","2.88M","-4.10%"
"04/01/2006","5,129.0","5,241.0","5,267.5","5,060.0","1.58M","-1.71%"
